dataType,dataName,devicetypes,elementTypes,section,page,order,attachTo,type,title,question,notes,units,required,hidden,protected,dontsend,requiresConfirmation,ignoreDefault,minutes,photo,commentTitle,ifExpr,defaultExpr,passfailExpr,failtext,options,columns,legacyId
Process,Variable,Device types,Element types,Section,Page,Order,Attach to,Type,Title,Question,Notes,Units,Required,Hidden,Protected,Reference data,Confirm,Ignore default,Minutes,Photo tag,Comment title,If,Default,Passfail,Fail text,Options,Columns,Legacy ID
survey,elementRef,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,10,,text,Element Reference,Site reference or name for this element (as per schematic).,,,true,false,false,false,true,false,1,,,,,,,,,
survey,elementLocation,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,20,,textarea,Location,Where is this element located? (building / room / access route),,,true,false,false,false,true,false,1,,,,,,,,,
survey,elementAccess,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,30,,textarea,Access Arrangements,How is access gained? Note keys / fobs / permits required.,,,false,false,false,false,true,false,1,,,,,,,,,
survey,elementOverviewPhoto,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,40,,text,Element Overview Photo,Take a wide photo showing the whole element / room.,,,true,false,false,false,true,false,2,Element overview,,,,,,,,
survey,schematicAvailable,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,50,,passfail,Schematic Available,Is an as-installed schematic available on site?,,,false,false,false,false,true,false,1,Schematic,,,,,,,,
survey,labellingAdequate,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,60,,passfail,Labelling,Is pipework and equipment labelling clear and adequate (flow/return arrows and equipment IDs)?,HNTAS key failure: inadequate labelling.,,true,false,false,false,true,false,1,,,,,,,,,
survey,generalCondition,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,70,,passfail,General Condition,General condition of this element.,,,true,false,false,false,true,false,1,,,,,,,,,
survey,accessSafeToWork,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,80,,passfail,Safe Access,Is the element safe to access and work on (lighting / drainage / trip hazards / confined space)?,,,true,false,false,false,true,false,1,,,,,,,,,
survey,leaksVisible,node,"ec,ec-p,ec-hs,ec-hg,ec-d,dd,ss,cd,cd-r,cc,ch",Element Identification,,90,,passfail,Visible Leaks,Are there any visible leaks or historic leak staining?,Record OK when no leaks. HNTAS key failure: leaking / weeping connections.,,true,false,false,false,true,false,2,Leak evidence,,,,,,,,
